is_new_listing,title,link,image_link,condition,price,shipping_price
false,"Polar Bottle Water Bottle Sport Thermal Foil Insulated - BPA-Free, 24 oz. USA",https://www.ebay.com/itm/225140665271?hash=item346b6debb7:g:NJEAAOSwMFJjBnG9&amdata=enc%3AAQAIAAAAwPTW5%2BeIrH7mdMZpsL3tCdz%2FT8c8qihtEkFucpiY9HswKfSmItcz73CDeCfKnEcHFspD0GHrKFXc6lpmBwxKAG9h8S3WgBRdEmFluUEUf72bjH9orwcDqrh0Z0knWmgaVkyfvqCEqBQ11jpxQwR5yvgdDOjPG8bkE0m5zrl14aGTtY7YsaNvzY6a9SI7IsgC50TtUup1N7JjyeYioitomgJhSKcbLpzL232IfvLf5qVjs8%2B0Jlvc58eOz4HYhqRNww%3D%3D%7Ctkp%3ABk9SR7jEgM77YQ,https://i.ebayimg.com/thumbs/images/g/NJEAAOSwMFJjBnG9/s-l225.jpg,Pre-Owned,9.99,58.99
false,Water Bottle Sleeve Neoprene Bottle Cooler Cover Holder Strap for Walking,https://www.ebay.com/itm/304872128170?hash=item46fbcb7eaa:g:oesAAOSwcQNkKkFl&amdata=enc%3AAQAIAAAA4Kz9yHDTHTpG0aJs08T1cqpLMDT8NYUiHcGr5xu9bEAk1lYZ%2B6uH1xpE%2F6EErOTKH4khC50X9Bipx8%2FEQNxQPwZRXCxENJ9bJiVdyLN6cWhIMKWh%2Fn6iNxPhbbPW2W55YComQbnTryBQRchPkEaZ7oKZPhb5W3OO8p860d5f4wsQ7UTDfZfy1XY5MhX12D3gFK3hnV4Md6n5mTwgb0Wqxl4iGgYakXcHzqATYEsTMKZXm2eR8JuDLXRaMjGryluGFeLBqkIoqYHeahcEKneZNq30ZkaqQ%2ByjoeFgdkGH%2F63a%7Ctkp%3ABk9SR8aV_837YQ,https://i.ebayimg.com/thumbs/images/g/oesAAOSwcQNkKkFl/s-l225.jpg,Brand New,6.69,Null,
true,Hiking Camping Water Bottle Holder Belt Carrier Pouch Bag Nylon},https://www.ebay.com/itm/195741276504?hash=item2d9316d958:g:JiEAAOSwrbRkK9Mq&amdata=enc%3AAQAIAAAAwDwsBgD1orXhYeB4GnqC%2FPWO%2BK9KdIp1RLAe8wbobAexvtt5pFjnU1rPvfqPRIlaUAAlMc%2FRUg18gZlicigShpLMNHe4cfVHcmua5YWphoZpLwiYHGYyWcBCeKgXXUFPVXF1QP0PhB4mtZ7eJygoeMbPLooezPq5jDQ42rHuYGvXdPvZsO9rYnfthy%2BiCZS1HT6Ed%2FN%2F95exiH4f%2BX6sDrfOgNwmTaQ%2BBrH%2FDDXKmqv4DnIfG9zPQftfI%2F37Kv44NQ%3D%3D%7Ctkp%3ABk9SR9iTgM77YQ,https://i.ebayimg.com/thumbs/images/g/JiEAAOSwrbRkK9Mq/s-l225.jpg,Brand New,5.25,Null,
false,Outdoor Tactical Molle Water Bottle Bag Military Hiking Belt Holder Kettle Pouch,https://www.ebay.com/itm/175103556976?hash=item28c4fc3d70:g:Cu4AAOSwj4Fh2~p4&amdata=enc%3AAQAIAAAAwGKW1xjOU2i7AjsyEKhlqn%2FSlLWzToAar7HXWKAIKuuaqsf8v%2FAe67KDg9R9dTHtppuOZe3uc0C7R%2Fol8%2F42s5DOHZU6Rmo%2BceWj1lvQ%2BlSK60Su7qhllvp8Y5mq4CESVVhGjIaGq0zVo2g9IlVATg1udPKXEQw1xZPy%2FFBHylU5wuN9gPW9jLU9YlvtZCEQqFs7OtBkagQbF2AobKxX1Lslo3B0OiRrXjs5WHZc68D2FYonk%2BIwKIvsqCr52gkwyg%3D%3D%7Ctkp%3ABk9SR8CV_837YQ,https://i.ebayimg.com/thumbs/images/g/Cu4AAOSwj4Fh2~p4/s-l225.jpg,Brand New,9.99,24.22
false,Saddle Rail Water Bottle Cage Mount / Behind Saddle Bottle Holder / Bicycle Tri,https://www.ebay.com/itm/283810856944?hash=item421471fff0:g:07MAAOSwBetdwJYV&amdata=enc%3AAQAIAAAA4ETN4SdrorTQXHcRzUkmvg1aeXrWakkzEm3x88HzXle9pcN7Wi87wCH2j2BypPZ55FHhj2UFJuf1Ok7NNa9bH9VSwk3qRUHLydwFseCquLdVMno3xmJCgn4U7Zbqs24iz2iDMeZEfk00YEUXzrHK37hpg%2B87TkedLScMkVzVz%2FtdcK2qP%2BX58Ig69kXHr7Qq%2FYw%2BczhGoBRAFfS9%2FaxjgucMDj16OjKiptS36y5hPkcLtc%2FI9aVcSqSK9FryrUfdG%2Bjpx6Qp2Po%2BkHam0nS%2FKf5SoOI87tNpywGKWdl7Xe7u%7Ctkp%3ABk9SR6qh_s37YQ,https://i.ebayimg.com/thumbs/images/g/07MAAOSwBetdwJYV/s-l225.jpg,Brand New,17.5,24.33
false,Water Bottle Holder Mesh Sleeve Adjustable Shoulder Strap Water Bottle Bag Gifts,https://www.ebay.com/itm/115560335813?hash=item1ae7eec9c5:g:3QsAAOSw1yNjI8~t&amdata=enc%3AAQAIAAAAwHKuxl%2FxW1HDHRRrp4z2M4UQk1l4c1%2BDKV7Rv3BDs5MBEfJCPp0vpnyhOQJeHZzVqJcCV%2Bj7M%2FtvK%2FqLhoVngSXRnfqPYA23tY79gvfP40EjDTzn4wKBaqvq5KHi5LaqeJlm1uMy4J0bP1hQ6SRNL0Diu9hJyKw0KUudqm%2FpJlJnZ0aLexOKlEOWC0TB7OOKOWvrpnBLaPEgCpuv2kQDKe7KyF9vWWgtkRhU41P1GxytNceFRAgTrRECw23gPRj8HQ%3D%3D%7Ctkp%3ABk9SR6Lc_s37YQ,https://i.ebayimg.com/thumbs/images/g/3QsAAOSw1yNjI8~t/s-l225.jpg,Brand New,7.8,Null,
false,"ELITE Fly Team CERVELO Water Bottle Blue , 550ml",https://www.ebay.com/itm/234206502190?hash=item3687cb9d2e:g:dEUAAOSwEkVhUXmn&amdata=enc%3AAQAIAAAA4DIdiMkWgj1luZWnRCH2oCqvQuU0jWIsu49xaSnlOtYj8CjrPOsO0PJd2TKmKhOSl1FwfnMEvVuL2YfAS2D7StpbUgqqQZ0dSfYtRGW6W19eWNZq8VL6DPhyd0scQkuwjxl4Crl8h3ad8yWjaFsSCZx3YZZ7qZLjJdJqt72HdVvWUcLHYkBgKLBQMWlwynGjq5BwK8DyIY9xSZ24b2Cv%2Boh2uI1hoayTYCx2rZMbrF9p%2FXalZztiqeCdV3BSIHX92sGuEmgPS1cte4CQw14bfkefR6UAMABMT00fX4KveXIJ%7Ctkp%3ABk9SR7rEgM77YQ,https://i.ebayimg.com/thumbs/images/g/dEUAAOSwEkVhUXmn/s-l225.jpg,Brand New,39,Null,
false,PELOTON Glass Water Bottle w/ Silicone Non-Slip Grip 16 oz Brand New Ships Today,https://www.ebay.com/itm/204164185577?hash=item2f89223de9:g:AC0AAOSwq3ljgVOP&amdata=enc%3AAQAIAAAA4GbDMe5qlwo3yc14lXoGYMJn%2FnjmUJu8pM3NOFtQ93RGcKZ7xwsvwgL2SysSmQl15LxDEhAVujiL2HNt89uG6QnB1Cz%2B9E0clmTHyeekCbiOI0mrbhlWuSG%2BM90rrR5qt%2BRXq1vlgxIRN8wInZviBnITaPWeN1wVZq0kA%2F3peP999owytvWjELaMwWcxbsWr%2F6OYvxmmu7NXdBX4%2Fh1933j6zyhlXak6fRw1YejbhrI7gHO9kur%2BaQrnbBFCPJzx7VOlj02%2FrkSu9c2mn6gcjiFCOtB4ZrXStUGF3yBG9Aa%2F%7Ctkp%3ABk9SR9iTgM77YQ,https://i.ebayimg.com/thumbs/images/g/AC0AAOSwq3ljgVOP/s-l225.jpg,Brand New,9,24.21
false,Tactical Molle Military Drawstring Kettle Bag Holder Travel Water Bottle Pouch,https://www.ebay.com/itm/403998556461?hash=item5e1030c12d:g:4D4AAOSwqAtjdH17&amdata=enc%3AAQAIAAAA4FV9kRKccIgAmJ3psyQBwOJC7lp8lBE92NLQlXqXBSHM9uuv3bEoG41VHjJEqDMco5TVCRjLtX6wag1eiQn9pQT5XW7bpfOqsy4gXpCwpCpxgjpweo2KHpwdFabh8i2R4Y6Rn7tsTjf9EISWgcvjCrDJP%2Bz%2BxCEkJSkXJhB3hje%2B1Je%2BT8Y41QiArbG4oyngZ0NyjTTz2VNQER81JtuYHq1TOBYEk5blSIaGSiuCJo%2BI4s2JUmycLa17ZrqZh8MKoEzVWRsAfYjBDBAm%2Bl02IxfYmFh1nto%2Fmb4cEeXymJsS%7Ctkp%3ABk9SR6K4_M37YQ,https://i.ebayimg.com/thumbs/images/g/4D4AAOSwqAtjdH17/s-l225.jpg,Brand New,9.89,17.02
false,DODICI UD Carbon Fiber Bottle Cage Road Bicycle Water Cup Holder MTB Cycling,https://www.ebay.com/itm/234648295434?hash=item36a220d80a:g:hdEAAOSwLyVi7IDr&amdata=enc%3AAQAIAAAA4I6BptcXhxb2TgXArfuydsLP9RxcI8uzZARfZFLEbcTnjwbhpLyJgMYM9uOVyi8%2BXofwApU0%2BwNoEZcMu7Bcxy6OZrtLEXQun0lAwDgLv%2BHEQadOpKQhGlpcJWDQwiHHgBO%2Bz5Vj7ewjp5MwbKd3TLRNTaJE9J5Kd0kKq6mGwkA%2BinjIrgnhmVc1lxxKJxdrDtpNl4vrZSqx4B7uvISlTihYaw%2FxIoqEwANUoZXyBSHpo47Vgt%2FplgE3zHrL9%2FmrkkRLMrqdqiI5ltb7eDo6GzVHtN7%2BG2XupdbJVuNujtEd%7Ctkp%3ABFBMpqH-zfth,https://i.ebayimg.com/thumbs/images/g/hdEAAOSwLyVi7IDr/s-l225.jpg,Brand New,28.5,Null,
