is_new_listing,title,link,image_link,condition,price,shipping_price
False,Half Gallon 64 OZ Motivational Water Bottle with Straw Time Marker BPA Free New,https://www.ebay.com/itm/134480246875?hash=item1f4fa5b85b:g:-9wAAOSwsslixqC8&amdata=enc%3AAQAIAAAAwOuZh3UE9v%2BR1oynNe1UGSpDwKK5mGxMuzp8P2Ne9ZQU%2BlK4YxlHwlcHWGHGswvGVMoK0RUcszL8rrnUDVc5%2BLzr%2BnMf%2F%2BVKuksZf3O4u%2Bq3e4crFmeXliMJneObl%2FU4g0lq2%2FKmTKQh%2FD5CAyOLutjT0zM8XTBUo%2B8Dq4vkQbSl4bvG0mcrzZIof7c23TgSHspczDhGGlhqXDkuDO6n4ydb16Y0nSlM3p38CB7bxur5RA9Or0UKJDhkkBBl31K4Xw%3D%3D%7Ctkp%3ABk9SR4D_xbP7YQ,https://i.ebayimg.com/thumbs/images/g/-9wAAOSwsslixqC8/s-l225.jpg,Brand New,11.65,None
False,Bolany 550ML Water Bottle Bicycle MTB Dust-proof Anti-fall Outdoor Drink Bottle,https://www.ebay.com/itm/334520057294?hash=item4de2f2fdce:g:qlcAAOSwzgJi6Hyd&amdata=enc%3AAQAIAAAA4EpUGmPpu9dVu0eVenfFnGoFGPWIusyBgp%2BoG41rlP3Yeqv866D5CQDI77gYUxxFKLmugrfaDDfjv9gsXRKtI1It16gMXJlfAEJGhE89iW4xEHt6MnvKbz8zsJl53XastAgk7E29VEIsrCadSMzPYN4uMqYf7%2B1qUyqoFLs7JFNlvheqYj%2BpjPWaZAGBWN8qdDYxBz3Qbh2z0wkoi9mfQ6oXpvdOjXV2PoJAxeZwlgXYGfLN9QISrB4WCsqCaesXqle7NKoMb%2BzAByAzgzA7R0OFYwHVhPlnzJ3DeVUkv2EU%7Ctkp%3ABFBMypfFs_th,https://i.ebayimg.com/thumbs/images/g/qlcAAOSwzgJi6Hyd/s-l225.jpg,Brand New,16.99,None
False,"IRON °FLASK Sports Water Bottle 3 Lids (Straw Lid), Leak Proof, Hot and Cold",https://www.ebay.com/itm/195196679718?hash=item2d72a0f626:g:EVIAAOSwDIhiv083&amdata=enc%3AAQAIAAAAwEVVUeyIjlY0NbwSh9e8u3zLsUqwdsSF7Hr76SLYlbmdzKrUJc6mS9mt42sSujnVolYSSNT7hcijS%2BQqJUyREYuACNdowSGZENcReiLVlErpK2EvdUFbcjoToiTdR1OmuJEbBTdGxE%2Bf1BCwfNHtGGuElNNwiGmWRe4FmQcBNatmeObr8b9TJ4aX0xDSNdNVLLCGoCB2gjhzljK4S0k2KJrVG6QqRVVep5mQzBABdLvZBT1DOdP55kzIzGBcnLsf1w%3D%3D%7Ctkp%3ABk9SR7iowrP7YQ,https://i.ebayimg.com/thumbs/images/g/EVIAAOSwDIhiv083/s-l225.jpg,New (Other),33.9,66.65
False,Single Clear LDPE Plastic water bottle 20oz. 500ml bike,https://www.ebay.com/itm/392586785071?epid=1759096103&hash=item5b67fef12f:g:4aUAAOSwFNZWx2fi&amdata=enc%3AAQAIAAAAwIdG7CiZ3fMQyfL06f2TEEJ%2BkUPJ%2FFctZyYTXzVwll5yzxBJYVvqItA17iza7Vx1nOGKyGSeX2nhM6yXd0nsnTvJHpx%2FMTAQZSkhgc3Hdlk4CgPjUUM4yXsSqPXjAHCPbjRlECDeaix0AJapcX%2FyDBkBAnmrczXw%2BrzUsI%2BWuvVJmsG1gUw0wRc069y5z5GtcbA%2BvET0%2BXxP449m64SbpiF0hJpYW0jtAKWI%2B9gtwwYjRmczAE8WcIG2PGXObk1NJA%3D%3D%7Ctkp%3ABk9SR6DEw7P7YQ,https://i.ebayimg.com/thumbs/images/g/4aUAAOSwFNZWx2fi/s-l225.jpg,Brand New,4.5,17.33
False,Insulated Water Bottle Coffee Tea Travel Mug Thermos Water Bottle with Temperatu,https://www.ebay.com/itm/175601373211?hash=item28e2a8501b:g:vZUAAOSw1IRj4I05&amdata=enc%3AAQAIAAAA4HWbcOMIanY51jZ%2Ffv2r1eob480IC%2BGXtG1MzNNd0xQi948zDA%2Bqa498gAm4GLqn2%2By7o1ckxCNl%2BdqGtfYrVZSbQdPMuO8d9N54500YwN09cFEO7UbBViyMGdJpk9LNESkGwEb0QCZvRGYSbOc23EgOp8hJ4uPXzasX4ivL9dh4qMT5AK5Pew98oXFBIFKgMWqdMkgV6fQ2BtOjg0ZYBb8wmYurYtOt1wtYifk9VlER25OkhC2dpS75BiEe3kElN3PR0xeL54yjGWLWDU1E%2BEYaSoQPwPCs4xeJbNVBiskh%7Ctkp%3ABFBMzJXDs_th,https://i.ebayimg.com/thumbs/images/g/vZUAAOSw1IRj4I05/s-l225.jpg,Brand New,9.99,24.22
False,Tactical Drawstring Molle Water Bottle Holder Military Travel Water Bottle Bag,https://www.ebay.com/itm/165596355941?hash=item268e4fdd65:g:K1MAAOSwXQpi370S&amdata=enc%3AAQAIAAAAwD0aaBUbtPu0gwzhjvhLA8Q%2BinEq%2F30SA7OFjdThAU7raswsu9Fu2ut0N6LwghyN5o2SiM5ObIDpnZ1tVupKsGVRocLkVwVsaAf%2Be5rGIFQ9p%2By8g0T1GR72t2o25FQPh0d3Y1UgNjYCZrKYOsNujpFPgyYskjH8Q6T67qxT05MWvk3Adm7ihUp1cGTBV4qC6KmzKhCUo4lxOWuhh9eOBjorX01cOn6O4UwQCrDZn2oIkpl0lBg4R7D4QxSRvldLkg%3D%3D%7Ctkp%3ABk9SR-bfxLP7YQ,https://i.ebayimg.com/thumbs/images/g/K1MAAOSwXQpi370S/s-l225.jpg,Brand New,8.99,18.01
False,Peugeot Plastic Water Bottle Vintage Style Eroica Steel Bike Tom Simpson,https://www.ebay.com/itm/265663290925?hash=item3ddac41e2d:g:0K4AAOSwy31iaUyd&amdata=enc%3AAQAIAAAA4OJgJu2b33P2nK3j9GYFDmakVK8OyQFlVt%2FdP32it4bBbsjUSH68mj6zgPWPcadza%2F7Lo8Wplbj95XbwKN2OzImV6E90wQsJu6GegYt%2B%2BceXTsDmgk8z3Vbca9%2FfLuUNkFvDMwcPv%2F23szLz2zsup3kGm1Idb0IskUrYcCjHYOIO0DpJgiQ4R0Jqt64CQ68Vkl8DBF0ecFY6UuTwd3R0xMjjLpt09rBaMyLH9FpemJnRL6RDI7c%2Bnutf41UQ%2B1NK60wpWdG%2FoKTy%2BjUEGZWWsOr0t9LEGTJ7v1c5x91ZNj1V%7Ctkp%3ABk9SR7SowrP7YQ,https://i.ebayimg.com/thumbs/images/g/0K4AAOSwy31iaUyd/s-l225.jpg,Brand New,12.51,8.23
False,Water Bottle Carrier Sleeve w/Adjustable Shoulder Strap 750ml/1000ml Bag Gifts,https://www.ebay.com/itm/155386976367?hash=item242dc9186f:g:UAYAAOSwogNihzCf&amdata=enc%3AAQAIAAAAwBIQw1XsJrSTUEAMkPauPeDSh68KLLS9FBcVlqu3ZpRHF2aYj5ZsEFIdDMwRUm%2FOWOCUX7sljf1xJw3kLqClw8vyp%2F%2FA19X1VnvAlACBD7IrlVfRxVZgqLG4NllbNFCYt9tBQdOsgbrskdz%2BM80TI%2B0QEQYhdzzCjrra8Qm1DM0pGBRBudVURx%2BRUouSZlUa8CSo4CnSwS2U08iqrXuGsPZypR4K2G3TcMaVLq8CeBIxNKLPgUoIKSNY3A4Kil1rpA%3D%3D%7Ctkp%3ABk9SR7yrxLP7YQ,https://i.ebayimg.com/thumbs/images/g/UAYAAOSwogNihzCf/s-l225.jpg,Brand New,6.57,None
False,Outdoor Tactical Molle Water Bottle Bag Military Hiking Belt Holder Kettle Pouch,https://www.ebay.com/itm/125534985624?hash=item1d3a77dd98:g:1k0AAOSwIExjM8Z-&amdata=enc%3AAQAIAAAA4Lza7t7kBF8RXmYOuNkfd9GpxOTCsx7D2Fmey3DnwhSAChTWehsyk7qAKfvtvsPGg1cK%2B1F25Hi6BoNUm34AI1x1X3r2mWcx8vntxW0YEAvGyguNCp3TGIp2y9Z1Po9XgQmUia32YwopPIjTbr5xTF4j2mI1c4iTGiJH7zJp42q8%2BZ1%2B5Ug5upvDHhZXYoARdFXuXyWn5MMr2BauiXjVynNydQoyL%2FIi2BKAb1iVgB%2FFxyDuuI1LWdQfElTmEvTTdQN890KTNYnyci%2F5k%2B9iZ%2FiQBkpXXwbNVNStZasFU1yx%7Ctkp%3ABk9SR86Vw7P7YQ,https://i.ebayimg.com/thumbs/images/g/1k0AAOSwIExjM8Z-/s-l225.jpg,Brand New,8.99,24.21
False,NEW Contigo Autoseal Drink Water Bottle 24oz / 710mL BPA-Free & Leakproof!,https://www.ebay.com/itm/155011570033?hash=item241768d971:g:ltwAAOSwQj9ikBIK&amdata=enc%3AAQAIAAAAwOfF%2FGXRLAQ2tzh7hZWcE0i4eAEB%2B6ZB%2FdbmTWPNLT6dDt81UFHKwS1Ek%2F1eCoHX4zgQuQVi%2Fx1cQnaUd624LFWE66WEI2A3AUfHUSehwTL%2B924jus1SccF%2F2XmRCCSOA0uY5q3nUy2vneuzuPE28XXFImbUwgm082mlrOAVwOO9s5xjRE2VoIJ7pLLprVqv1QIrUabcvrsPsq7QcF1ILOQPSw7zsitsH2sB79RXC5VRX6efbM4E7VM1Zh%2FFfxMb0g%3D%3D%7Ctkp%3ABk9SR-zTwrP7YQ,https://i.ebayimg.com/thumbs/images/g/ltwAAOSwQj9ikBIK/s-l225.jpg,Brand New,16.51,52.17
